run_id	trial	condition	classification	worktree_add_count	edit_write_count	question_count	parent_write_count	details
phase1a2	aexample-selfplan-r10	A_parent_cwd	worktree_created_first	1	2	0	0	tools=7
phase1a2	aforce-selfplan-r1	A_parent_cwd	direct_write	0	2	0	0	tools=6
phase1a2	aforce-selfplan-r2	A_parent_cwd	direct_write	0	2	0	0	tools=5
phase1a2	aforce-selfplan-r3	A_parent_cwd	direct_write	0	2	0	0	tools=5
phase1a2	aforce-selfplan-r4	A_parent_cwd	asked_first	0	1	1	0	tools=5
phase1a2	aforce-selfplan-r5	A_parent_cwd	direct_write	0	2	0	0	tools=6
phase1a2	aforce-selfplan-r6	A_parent_cwd	direct_write	0	2	0	0	tools=5
phase1a2	aforce-selfplan-r7	A_parent_cwd	direct_write	0	2	0	0	tools=7
phase1a2	aforce-selfplan-r8	A_parent_cwd	direct_write	0	2	0	0	tools=5
phase1a2	aforce-selfplan-r9	A_parent_cwd	direct_write	0	2	0	0	tools=6
phase1a2	aforce-selfplan-r10	A_parent_cwd	asked_first	0	1	1	0	tools=5
